Date,TEDSPREAD
1/2/2014,18.2007
1/3/2014,17.3937
1/6/2014,19.372
1/7/2014,20.6611
1/8/2014,20.9981
1/9/2014,20.6161
1/10/2014,20.6161
1/13/2014,21.3551
1/14/2014,20.6331
1/15/2014,20.2361
1/16/2014,20.5931
1/17/2014,20.6181
1/20/2014,20.6681
1/21/2014,20.1111
1/22/2014,20.6681
1/23/2014,20.3111
1/24/2014,18.972
1/27/2014,18.5399
1/28/2014,19.047
1/29/2014,19.504
1/30/2014,22.2391
1/31/2014,21.6321
2/3/2014,21.0251
2/4/2014,18.5749
2/5/2014,18.0578
2/6/2014,17.0937
2/7/2014,15.2723
2/10/2014,17.8079
2/11/2014,19.097
2/12/2014,19.047
2/13/2014,21.5571
2/14/2014,22.5711
2/17/2014,22.4961
2/18/2014,21.9341
2/19/2014,18.797
2/20/2014,18.997
2/21/2014,19.9361
2/24/2014,19.8861
2/25/2014,19.304
2/26/2014,19.274
2/27/2014,20.0611
2/28/2014,19.002
3/3/2014,19.002
3/4/2014,18.972
3/5/2014,18.3699
3/6/2014,18.947
3/7/2014,19.002
3/10/2014,19.8861
3/11/2014,19.274
3/12/2014,19.354
3/13/2014,19.279
3/14/2014,18.922
3/17/2014,18.882
3/18/2014,18.922
3/19/2014,18.3149
3/20/2014,18.2899
3/21/2014,18.722
3/24/2014,18.947
3/25/2014,18.872
3/26/2014,19.279
3/27/2014,20.3181
3/28/2014,19.7861
3/31/2014,20.0181
4/1/2014,19.2611
4/2/2014,21.4891
4/3/2014,21.5141
4/4/2014,20.9321
4/7/2014,20.9071
4/8/2014,20.1951
4/9/2014,19.7131
4/10/2014,19.6631
4/11/2014,19.0961
4/14/2014,19.8231
4/15/2014,19.5931
4/16/2014,20.2501
4/17/2014,20.5571
4/18/2014,20.5571
4/21/2014,20.0501
4/22/2014,20.3251
4/23/2014,21.3541
4/24/2014,22.278
4/25/2014,21.6461
4/28/2014,21.978
4/29/2014,21.5211
4/30/2014,19.8001
5/1/2014,20.2571
5/2/2014,20.7641
5/5/2014,20.7641
5/6/2014,20.4571
5/7/2014,19.8601
5/8/2014,19.8001
5/9/2014,20.3821
5/12/2014,20.4821
5/13/2014,20.3571
5/14/2014,20.5071
5/15/2014,20.5571
5/16/2014,21.3391
5/19/2014,20.6671
5/20/2014,20.2751
5/21/2014,19.6931
5/22/2014,19.6731
5/23/2014,19.8931
5/26/2014,19.8931
5/27/2014,20.4501
5/28/2014,19.7181
5/29/2014,19.6931
5/30/2014,19.6981
6/2/2014,20.1801
6/3/2014,19.6981
6/4/2014,19.9081
6/5/2014,20.0181
6/6/2014,19.9181
6/9/2014,20.0131
6/10/2014,19.9881
6/11/2014,19.4311
6/12/2014,19.5111
6/13/2014,20.1681
6/16/2014,20.5251
6/17/2014,20.0581
6/18/2014,21.5791
6/19/2014,21.9461
6/20/2014,22.0461
6/23/2014,22.753
6/24/2014,21.3321
6/25/2014,21.3571
6/26/2014,20.8751
6/27/2014,21.4321
6/30/2014,21.0421
7/1/2014,21.1521
7/2/2014,21.9391
7/3/2014,22.703
7/4/2014,22.803
7/7/2014,22.3961
7/8/2014,21.3321
7/9/2014,21.3821
7/10/2014,21.8391
7/11/2014,21.8391
7/14/2014,21.7391
7/15/2014,21.7891
7/16/2014,21.8391
7/17/2014,22.3461
7/18/2014,22.1461
7/21/2014,21.7891
7/22/2014,21.2321
7/23/2014,21.3821
7/24/2014,21.4821
7/25/2014,20.8751
7/28/2014,21.0751
7/29/2014,22.1891
7/30/2014,20.9181
7/31/2014,21.8821
8/1/2014,21.7821
8/4/2014,22.1891
8/5/2014,21.6821
8/6/2014,21.3921
8/7/2014,21.2821
8/8/2014,21.4821
8/11/2014,20.8451
8/12/2014,20.7751
8/13/2014,20.3181
8/14/2014,20.5751
8/15/2014,20.6751
8/18/2014,20.6751
8/19/2014,20.9051
8/20/2014,21.4621
8/21/2014,22.4761
8/22/2014,22.3191
8/25/2014,22.3191
8/26/2014,21.7821
8/27/2014,20.9251
8/28/2014,20.8251
8/29/2014,21.3321
9/1/2014,21.3321
9/2/2014,21.7891
9/3/2014,21.3821
9/4/2014,21.2821
9/5/2014,20.6951
9/8/2014,21.3321
9/9/2014,22.4461
9/10/2014,21.9391
9/11/2014,22.3961
9/12/2014,22.4461
9/15/2014,22.4461
9/16/2014,22.4261
9/17/2014,21.8891
9/18/2014,22.803
9/19/2014,22.2961
9/22/2014,23.5589
9/23/2014,22.3961
9/24/2014,22.4961
9/25/2014,22.853
9/26/2014,22.2961
9/29/2014,23.003
9/30/2014,21.9891
10/1/2014,22.2461
10/2/2014,22.1061
10/3/2014,22.653
10/6/2014,22.753
10/7/2014,22.603
10/8/2014,22.9089
10/9/2014,22.403
10/10/2014,22.493
10/13/2014,22.553
10/14/2014,22.403
10/15/2014,21.2891
10/16/2014,20.5401
10/17/2014,21.1071
10/20/2014,21.1821
10/21/2014,22.0461
10/22/2014,21.7591
10/23/2014,22.853
10/24/2014,22.803
10/27/2014,22.753
10/28/2014,22.2461
10/29/2014,22.2461
10/30/2014,22.728
10/31/2014,22.703
11/3/2014,22.728
11/4/2014,21.1571
11/5/2014,21.1571
11/6/2014,21.1321
11/7/2014,21.2321
11/10/2014,21.2821
11/11/2014,21.7991
11/12/2014,22.3061
11/13/2014,22.703
11/14/2014,22.703
11/17/2014,22.678
11/18/2014,22.1711
11/19/2014,23.1089
11/20/2014,23.2889
11/21/2014,22.778
11/24/2014,22.928
11/25/2014,21.5321
11/26/2014,23.053
11/27/2014,22.853
11/28/2014,22.3461
12/1/2014,22.4461
12/2/2014,22.4461
12/3/2014,22.978
12/4/2014,22.0141
12/5/2014,22.5461
12/8/2014,23.253
12/9/2014,21.3501
12/10/2014,21.4551
12/11/2014,22.0321
12/12/2014,22.7641
12/15/2014,23.753
12/16/2014,21.2181
12/17/2014,22.5071
12/18/2014,21.1611
12/19/2014,22.6751
12/22/2014,23.4821
12/23/2014,24.4461
12/24/2014,25.6589
12/25/2014,25.5586
12/26/2014,25.6589
12/29/2014,25.5089
12/30/2014,25.013
12/31/2014,22.0111
1/1/2015,22.0111
1/2/2015,24.0391
1/5/2015,24.3461
1/6/2015,22.5751
1/7/2015,23.1821
1/8/2015,23.6891
1/9/2015,23.8891
1/12/2015,23.7591
1/13/2015,22.7951
1/14/2015,22.8251
1/15/2015,22.7251
1/16/2015,24.1391
1/19/2015,24.0991
1/20/2015,25.163
1/21/2015,23.6821
1/22/2015,24.0891
1/23/2015,24.0891
1/26/2015,25.103
1/27/2015,23.7391
1/28/2015,23.9391
1/29/2015,24.953
1/30/2015,25.3089
2/2/2015,24.703
2/3/2015,23.9891
2/4/2015,25.003
2/5/2015,25.103
2/6/2015,24.0391
2/9/2015,25.328
2/10/2015,25.303
2/11/2015,25.303
2/12/2015,24.7961
2/13/2015,25.203
2/16/2015,25.113
2/17/2015,25.163
2/18/2015,24.5391
2/19/2015,24.6291
2/20/2015,24.7391
2/23/2015,24.6391
2/24/2015,24.5891
2/25/2015,24.5691
2/26/2015,24.6391
2/27/2015,25.1711
3/2/2015,25.0811
3/3/2015,25.5011
3/4/2015,25.853
3/5/2015,25.853
3/6/2015,25.953
3/9/2015,26.153
3/10/2015,25.7561
3/11/2015,25.4691
3/12/2015,25.0321
3/13/2015,25.0371
3/16/2015,23.9731
3/17/2015,22.372
3/18/2015,24.4951
3/19/2015,25.948
3/20/2015,26.6789
3/23/2015,26.6789
3/24/2015,25.4141
3/25/2015,24.3201
3/26/2015,24.7701
3/27/2015,23.9911
3/30/2015,25.8941
3/31/2015,25.0471
4/1/2015,25.5541
4/2/2015,26.3611
4/3/2015,26.3611
4/6/2015,26.868
4/7/2015,25.8541
4/8/2015,25.0921
4/9/2015,25.5621
4/10/2015,26.1791
4/13/2015,26.5161
4/14/2015,26.0341
4/15/2015,26.4211
4/16/2015,25.9891
4/17/2015,26.0541
4/20/2015,26.5861
4/21/2015,25.6971
4/22/2015,25.7221
4/23/2015,25.6721
4/24/2015,26.3791
4/27/2015,26.8861
4/28/2015,26.8011
4/29/2015,28.3219
4/30/2015,27.8739
5/1/2015,27.9739
5/4/2015,27.9739
5/5/2015,27.083
5/6/2015,27.093
5/7/2015,27.378
5/8/2015,27.478
5/11/2015,27.153
5/12/2015,26.4861
5/13/2015,25.8691
5/14/2015,26.5861
5/15/2015,26.6361
5/18/2015,27.093
5/19/2015,27.0861
5/20/2015,26.8291
5/21/2015,27.1861
5/22/2015,27.4361
5/25/2015,27.4361
5/26/2015,27.5711
5/27/2015,27.843
5/28/2015,28.2739
5/29/2015,28.3739
6/1/2015,28.2489
6/2/2015,27.3617
6/3/2015,26.9033
6/4/2015,26.8733
6/5/2015,26.5949
6/8/2015,27.2033
6/9/2015,27.5333
6/10/2015,27.2599
6/11/2015,27.5683
6/12/2015,28.0967
6/15/2015,27.8167
6/16/2015,28.118
6/17/2015,28.5689
6/18/2015,28.0789
6/19/2015,28.1289
6/22/2015,28.2239
6/23/2015,27.5667
6/24/2015,28.0739
6/25/2015,28.1989
6/26/2015,28.1739
6/29/2015,28.3689
6/30/2015,27.8117
7/1/2015,26.8349
7/2/2015,28.3489
7/3/2015,28.4289
7/6/2015,27.4083
7/7/2015,27.3083
7/8/2015,27.3283
7/9/2015,27.5833
7/10/2015,28.0717
7/13/2015,29.8966
7/14/2015,28.343
7/15/2015,27.8361
7/16/2015,27.1791
7/17/2015,27.6541
7/20/2015,27.4721
7/21/2015,26.8682
7/22/2015,26.1998
7/23/2015,26.4598
7/24/2015,26.3098
7/27/2015,26.3598
7/28/2015,25.1045
7/29/2015,25.1045
7/30/2015,23.4006
7/31/2015,24.7591
8/3/2015,23.7606
8/4/2015,22.4835
8/5/2015,23.9721
8/6/2015,27.5814
8/7/2015,25.0591
8/10/2015,24.8106
8/11/2015,21.2935
8/12/2015,21.2957
8/13/2015,23.4301
8/14/2015,24.3323
8/17/2015,27.2008
8/18/2015,26.6756
8/19/2015,29.2679
8/20/2015,31.3849
8/21/2015,30.8766
8/24/2015,31.6349
8/25/2015,27.616
8/26/2015,27.436
8/27/2015,27.356
8/28/2015,27.816
8/31/2015,32.8989
9/1/2015,29.8413
9/2/2015,32.2333
9/3/2015,31.8249
9/4/2015,30.6582
9/7/2015,30.7582
9/8/2015,30.6582
9/9/2015,30.7651
9/10/2015,32.0791
9/11/2015,31.1851
9/14/2015,31.5221
9/15/2015,27.8325
9/16/2015,28.876
9/17/2015,35.0183
9/18/2015,33.4449
9/21/2015,34.1249
9/22/2015,33.1583
9/23/2015,32.0417
9/24/2015,32.6389
9/25/2015,34.6432
9/28/2015,33.1683
9/29/2015,33.5666
9/30/2015,34.5332
10/1/2015,34.9415
10/2/2015,33.2183
10/5/2015,33.3366
10/6/2015,32.3069
10/7/2015,32.3669
10/8/2015,31.9589
10/9/2015,32.0589
10/12/2015,32.0739
10/13/2015,32.0489
10/14/2015,32.2133
10/15/2015,32.0233
10/16/2015,31.7139
10/19/2015,32.1733
10/20/2015,31.0233
10/21/2015,31.6389
10/22/2015,31.9889
10/23/2015,32.2889
10/26/2015,30.7899
10/27/2015,30.8649
10/28/2015,28.6314
10/29/2015,26.7891
10/30/2015,26.2921
11/2/2015,28.3261
11/3/2015,28.2899
11/4/2015,30.1111
11/5/2015,30.8411
11/6/2015,26.5345
11/9/2015,27.9545
11/10/2015,22.8976
11/11/2015,23.1976
11/12/2015,23.4477
11/13/2015,24.6651
11/16/2015,26.2409
11/17/2015,25.0149
11/18/2015,25.7735
11/19/2015,28.6079
11/20/2015,28.5494
11/23/2015,28.6423
11/24/2015,24.4654
11/25/2015,23.3793
11/26/2015,23.8793
11/27/2015,24.6383
11/30/2015,24.8384
12/1/2015,22.3851
12/2/2015,23.2564
12/3/2015,24.8565
12/4/2015,24.8392
12/7/2015,24.8127
12/8/2015,21.6901
12/9/2015,24.2762
12/10/2015,27.3121
12/11/2015,29.3303
12/14/2015,31.432
12/15/2015,28.16
12/16/2015,28.3262
12/17/2015,35.0799
12/18/2015,41.2596
12/21/2015,43.5458
12/22/2015,40.6178
12/23/2015,40.984
12/24/2015,40.4756
12/25/2015,40.4756
12/28/2015,40.9846
12/29/2015,41.3439
12/30/2015,46.9816
12/31/2015,44.997
1/1/2016,44.997
1/4/2016,44.8971
1/5/2016,41.8751
1/6/2016,42.1752
1/7/2016,41.8503
1/8/2016,42.7845
1/11/2016,43.3934
1/12/2016,41.5074
1/13/2016,40.3298
1/14/2016,37.6954
1/15/2016,39.0727
1/18/2016,39.4927
1/19/2016,38.5251
1/20/2016,36.1883
1/21/2016,33.8824
1/22/2016,32.406
1/25/2016,33.6443
1/26/2016,31.0775
1/27/2016,30.2686
1/28/2016,29.0006
1/29/2016,30.2288
2/1/2016,31.8472
2/2/2016,28.3417
2/3/2016,28.9912
2/4/2016,33.0243
2/5/2016,32.975
2/8/2016,35.6502
2/9/2016,31.5266
2/10/2016,31.2369
2/11/2016,33.7424
2/12/2016,33.8433
2/15/2016,33.8433
2/16/2016,33.8435
2/17/2016,31.926
2/18/2016,32.8243
2/19/2016,32.825
2/22/2016,32.4472
2/23/2016,30.8592
2/24/2016,30.3912
2/25/2016,31.5098
2/26/2016,32.4788
2/29/2016,31.77
3/1/2016,30.6
3/2/2016,33.98
3/3/2016,36.0915
3/4/2016,36.9001
3/7/2016,36.1423
3/8/2016,33.5007
3/9/2016,33.446
3/10/2016,32.203
3/11/2016,31.8447
3/14/2016,32.415
3/15/2016,31.1259
3/16/2016,34.395
3/17/2016,34.3624
3/18/2016,33.9441
3/21/2016,32.4472
3/22/2016,33.3298
3/23/2016,32.996
3/24/2016,34.8831
3/25/2016,34.8831
3/28/2016,36.4102
3/29/2016,40.7057
3/30/2016,43.184
3/31/2016,43.0253
4/1/2016,40.5314
4/4/2016,43.6846
4/5/2016,41.2985
4/6/2016,40.172
4/7/2016,39.9921
4/8/2016,40.7014
4/11/2016,41.6243
4/12/2016,40.5807
4/13/2016,40.4559
4/14/2016,41.4149
4/15/2016,41.4403
4/18/2016,43.092
4/19/2016,42.6324
4/20/2016,41.1309
4/21/2016,40.9221
4/22/2016,40.6975
4/25/2016,38.4621
4/26/2016,39.02
4/27/2016,40.4381
4/28/2016,42.8076
4/29/2016,42.808
5/2/2016,44.8434
5/3/2016,43.4551
5/4/2016,44.5929
5/5/2016,44.363
5/6/2016,43.6345
5/9/2016,41.5993
5/10/2016,38.395
5/11/2016,37.2273
5/12/2016,36.1595
5/13/2016,36.3101
5/16/2016,36.1602
5/17/2016,34.0229
5/18/2016,34.055
5/19/2016,35.3762
5/20/2016,35.6079
5/23/2016,34.1809
5/24/2016,31.9333
5/25/2016,34.0953
5/26/2016,38.9184
5/27/2016,36.2741
5/30/2016,36.2741
5/31/2016,40.0945
6/1/2016,39.2133
6/2/2016,40.6165
6/3/2016,40.3145
6/6/2016,40.1951
6/7/2016,39.2814
6/8/2016,42.467
6/9/2016,40.7495
6/10/2016,41.2125
6/13/2016,39.8876
6/14/2016,39.0291
6/15/2016,40.2023
6/16/2016,39.2274
6/17/2016,39.008
6/20/2016,39.7271
6/21/2016,37.2987
6/22/2016,37.6316
6/23/2016,35.6012
6/24/2016,37.505
6/27/2016,38.3627
6/28/2016,37.7466
6/29/2016,38.7392
6/30/2016,39.5393
7/1/2016,39.9726
7/4/2016,40.2726
7/5/2016,41.3629
7/6/2016,39.2239
7/7/2016,38.0512
7/8/2016,39.3171
7/11/2016,39.0097
7/12/2016,38.3389
7/13/2016,37.996
7/14/2016,36.878
7/15/2016,38.7719
7/18/2016,40.0562
7/19/2016,38.7623
7/20/2016,38.197
7/21/2016,40.5028
7/22/2016,40.6459
7/25/2016,42.9115
7/26/2016,43.86
7/27/2016,47.2487
7/28/2016,51.8096
7/29/2016,50.5474
8/1/2016,50.5476
8/2/2016,49.8737
8/3/2016,51.3816
8/4/2016,53.3969
8/5/2016,53.3649
8/8/2016,54.7801
8/9/2016,53.622
8/10/2016,53.7822
8/11/2016,53.7224
8/12/2016,54.3571
8/15/2016,51.9253
8/16/2016,52.7341
8/17/2016,51.7037
8/18/2016,51.6759
8/19/2016,51.7799
8/22/2016,53.6285
8/23/2016,52.6115
8/24/2016,51.0885
8/25/2016,50.97
8/26/2016,51.8896
8/29/2016,52.3976
8/30/2016,51.74
8/31/2016,50.9545
9/1/2016,51.0966
9/2/2016,51.5495
9/5/2016,51.3825
9/6/2016,53.1211
9/7/2016,49.778
9/8/2016,50.4571
9/9/2016,51.6452
9/12/2016,49.4557
9/13/2016,50.018
9/14/2016,53.426
9/15/2016,57.2472
9/16/2016,57.8105
9/19/2016,61.2122
9/20/2016,57.6721
9/21/2016,66.045
9/22/2016,68.9359
9/23/2016,68.5582
9/26/2016,67.0361
9/27/2016,60.0146
9/28/2016,56.3753
9/29/2016,59.1979
9/30/2016,57.9741
10/3/2016,55.8582
10/4/2016,54.3822
10/5/2016,54.7435
10/6/2016,55.1058
10/7/2016,56.066
10/10/2016,55.849
10/11/2016,54.683
10/12/2016,54.1169
10/13/2016,59.5912
10/14/2016,59.2512
10/17/2016,57.8302
10/18/2016,54.6354
10/19/2016,55.0885
10/20/2016,55.1998
10/21/2016,55.7084
10/24/2016,56.4105
10/25/2016,55.5882
10/26/2016,56.5683
10/27/2016,60.3242
10/28/2016,60.6935
10/31/2016,58.4972
11/1/2016,52.988
11/2/2016,51.4429
11/3/2016,51.461
11/4/2016,51.6291
11/7/2016,48.4817
11/8/2016,46.6199
11/9/2016,46.0214
11/10/2016,43.5152
11/11/2016,43.8762
11/14/2016,39.8588
11/15/2016,42.4037
11/16/2016,45.195
11/17/2016,48.4939
11/18/2016,48.4874
11/21/2016,48.8489
11/22/2016,44.2647
11/23/2016,43.7777
11/24/2016,44.4727
11/25/2016,44.5017
11/28/2016,47.3289
11/29/2016,45.3569
11/30/2016,45.7075
12/1/2016,47.4744
12/2/2016,48.4563
12/5/2016,48.6239
12/6/2016,46.3566
12/7/2016,45.3408
12/8/2016,45.0563
12/9/2016,42.3532
12/12/2016,45.6251
12/13/2016,43.0433
12/14/2016,43.7391
12/15/2016,49.5755
12/16/2016,50.5017
12/19/2016,50.7055
12/20/2016,48.8627
12/21/2016,49.5106
12/22/2016,49.4563
12/23/2016,48.9509
12/26/2016,48.9509
12/27/2016,48.4435
12/28/2016,49.0584
12/29/2016,55.1288
12/30/2016,50.0502
1/2/2017,50.0502
1/3/2017,51.1501
1/4/2017,47.7194
1/5/2017,49.6619
1/6/2017,49.747
1/9/2017,51.7442
1/10/2017,51.0297
1/11/2017,51.4194
1/12/2017,50.9119
1/13/2017,50.0374
1/16/2017,50.0924
1/17/2017,50.2042
1/18/2017,50.7277
1/19/2017,53.8723
1/20/2017,54.6045
1/23/2017,55.0665
1/24/2017,52.9269
1/25/2017,54.499
1/26/2017,54.1585
1/27/2017,53.1442
1/30/2017,53.1531
1/31/2017,52.1885
2/1/2017,53.2056
2/2/2017,53.6305
2/3/2017,53.6605
2/6/2017,52.0726
2/7/2017,52.0412
2/8/2017,50.0721
2/9/2017,49.5646
2/10/2017,50.3252
2/13/2017,50.604
2/14/2017,49.924
2/15/2017,50.8781
2/16/2017,53.8756
2/17/2017,53.9698
