,Date,SP500 Compound,SP500 Negative,SP500 Neutral,SP500 Positive,SP500 Text,Cramer Compound,Cramer Negative,Cramer Neutral,Cramer Positive,Cramer Text,Trump Compound,Trump Negative,Trump Neutral,Trump Positive,Trump Text,Dimon Compound,Dimon Negative,Dimon Neutral,Dimon Positive,Dimon Text,Blankfein Compound,Blankfein Negative,Blankfein Neutral,Blankfein Positive,Blankfein Text,Solomon Compound,Solomon Negative,Solomon Neutral,Solomon Positive,Solomon Text,Corbat Compound,Corbat Negative,Corbat Neutral,Corbat Positive,Corbat Text,Lead economists Compound,Lead economists Negative,Lead economists Neutral,Lead economists Positive,Lead economists Text,FED Compound,FED Negative,FED Neutral,FED Positive,FED Text,Fink Compound,Fink Negative,Fink Neutral,Fink Positive,Fink Text
0,2021-03-18 17:52:23,0.2732,0.088,0.769,0.143,"photo by jetcityimage/istock editorial via getty images
it looks like the pain is over for retail chain five below (nasdaq:five). after effectively going dormant for several weeks in 2020, a result … [+4354 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-03-18 17:45:00,0.5574,0.059,0.782,0.159,"* 10-yr u.s. yield tops 1.75% as investors digest fed
* s&amp;p 500 drops, tech-heavy nasdaq slumps
* msci global index little changed as europes stoxx gains
* dollar recovers from post-fed drop, … [+2895 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-03-18 17:42:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-03-18 17:42:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-03-18 17:39:37,-0.7189,0.18,0.82,0.0,"photo by mark makela/getty images news via getty images
the fed gave the equity market exactly what it wanted, lower for as long as possible. unfortunately, the bond market doesn't seem as pleased, … [+6400 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-03-18 17:37:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-03-18 17:35:02,0.0258,0.069,0.859,0.072,"the dow has gained 137.39 points, or 0.4%, to 33,152.76, trouncing the 
 s&amp;p 500,
 which has fallen 0.5%, and the nasdaq composite, which is off 1.5%. the 
 invesco qqq
 exchange-traded fund … [+1929 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-03-18 17:34:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-03-18 17:33:35,-0.2263,0.06,0.94,0.0,"photo by balkanscat/istock editorial via getty images
elevator pitch
 i maintain my neutral rating on miniso group holding limited (mnso).
 this represents an update of my initiation article for m… [+9666 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-03-18 17:32:08,0.4588,0.0,0.906,0.094,"accenture plc (nyse:acn) q2 2021 earnings conference call march 18, 2021 8:00 am et

company participants

angie park - managing director and head, investor relations

julie sweet - chief executiv… [+52895 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-03-18 17:31:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-03-18 17:30:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-03-18 17:30:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-03-18 17:30:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-03-18 17:25:21,0.3818,0.0,0.918,0.082,"<ul><li>usd/jpy continues to consolidate close to the 109.00 level.</li><li>higher us bond yields mean the dollar is the best performing g10 currency, but the yen is holding up well.</li><li>risk-off… [+2322 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-03-18 17:22:13,0.0,0.0,1.0,0.0,"london stocks turned a corner as news started to come out of the us on thursday afternoon.
after trading down all day, the ftse 100 index of the capitals biggest companies flipped its fortunes at ar… [+3391 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-03-18 17:16:08,0.6808,0.0,0.833,0.167,"baron opportunity fund recently published its fourth-quarter commentary a copy of which can be downloaded here. during the fourth quarter of 2020, the baron opportunity fund returned 23.02% (institut… [+3344 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-03-18 17:11:30,0.0,0.0,1.0,0.0,"photo by fibonacci/istock via getty images
newmont corporation (nem) released q4 and full-year 2020 results on february 18. here is a summary of our take on the latest data set along with our update… [+7707 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-03-18 17:11:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-03-18 17:02:22,-0.1027,0.056,0.898,0.046,"the s&amp;p 500 closes in on 4,000
we had five straight up days, now the stock market is looking at its second loss in the last three days. still, the s&amp;p 500 closed wednesday at another all-tim… [+1189 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-03-18 17:02:00,-0.3612,0.079,0.921,0.0,"industrial conglomerate 
 general electric
 is continuing its balance sheet transformation, unveiling wednesday the next phase of debt reduction to come after the company completes the sale of its … [+3601 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-03-18 17:01:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-03-18 17:00:53,-0.0772,0.076,0.856,0.068,"all signs point to the fact that covid-19 has had a worse impact on women in the united states compared to men. with most schools operating through remote learning since early 2020, women, who are of… [+2146 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-03-18 17:00:00,0.4939,0.0,0.906,0.094,"photo by josien/istock via getty images
reit rankings: mall reits
(hoya capital real estate, co-produced with colorado wealth management)
 mall reit sector overview
 pushed over the edge by the p… [+13738 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-03-18 17:00:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-03-18 17:00:00,-0.0516,0.081,0.843,0.076,"worries about a stock market bubble diminished this month after a sharp pullback in growth stocks brought down valuations.
the s&amp;p 500 currently trades for 22.6x this years earnings estimates an… [+7194 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-03-18 16:55:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-03-18 16:55:00,0.4767,0.0,0.88,0.12,"fed chairman jerome powell.
pool/getty images
borrowing costs quickly picked up pace thursday as the benchmark 10-year treasury note yield surged to a fresh 14- month high, with the move pressuring… [+2265 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-03-18 16:52:28,0.4215,0.0,0.917,0.083,"photo by stanley45/e+ via getty images
nearly a million additional barrels per day
 in january 2021, u.s. president joe biden announced that he is revoking previously approved permits for the keyst… [+15188 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021-03-18 16:49:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-03-18 16:48:00,0.34,0.061,0.816,0.122,"only a day after analysts had hailed the victory of the federal reserve over traders doubting the central banks pledge to keep monetary policy easy for an extended period, bond yields rose sharply on… [+4938 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2021-03-18 16:46:30,0.4767,0.0,0.921,0.079,"photo by 1933bkk/istock via getty images
i've had prologis (pld) on my screen for months as the company was one of the biggest reit winners in 2020. some might recall that i said that i don't really… [+7200 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2021-03-18 16:46:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2021-03-18 16:46:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2021-03-18 16:45:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2021-03-18 16:45:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2021-03-18 16:42:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2021-03-18 16:41:00,0.2144,0.103,0.797,0.1,"march madness isnt quit the same during a pandemic, with social distancing keeping folks out of bars and arenas. but one area that actually may benefit from the strange conditions around this years n… [+7545 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2021-03-18 16:37:17,0.0,0.0,1.0,0.0,"photo by panuwat sikham/istock via getty images
voyager digital (otcqb:vygvf) is a smaller cap that gives investors exposure to the bitcoin and crypto trading trend at a reasonable valuation. the co… [+22409 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2021-03-18 16:37:00,0.296,0.0,0.932,0.068,"nikola (ticker: nkla) stock is down 7.1% in midday trading to $15.22 a share. the 
 s&amp;p 500
 is down about 0.4%. south korean-based industrial company 
 hanwha
 (000880.korea), an early nikol… [+1180 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021-03-18 16:35:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2021-03-18 16:30:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2021-03-18 16:30:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2021-03-18 16:30:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2021-03-18 16:26:53,-0.2263,0.061,0.939,0.0,"artisan partners limited partnership, a high value-added investment management firm, published its artisan mid cap fund fourth quarter 2020 investor letter a copy of which can be downloaded here. a r… [+3484 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2021-03-18 16:25:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2021-03-18 16:22:14,0.6369,0.0,0.865,0.135,"in this article, we discussed billionaire nicholas pritzker's investment philosophy and his venture capital investments. we also discussed billionaire nicholas pritzker's tao capital's best stock ide… [+7061 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2021-03-18 16:22:00,0.6908,0.0,0.817,0.183,"do you like roller coasters? according to deutsche bank, were looking at some roller coaster volatility for the next few months, with near-term gains likely, followed by a q2 retreat, and second-half… [+8788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2021-03-18 16:18:25,-0.2263,0.061,0.939,0.0,"artisan partners limited partnership, a high value-added investment management firm, published its artisan mid cap fund fourth quarter 2020 investor letter a copy of which can be downloaded here. a r… [+3364 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2021-03-18 16:17:40,-0.3182,0.095,0.845,0.06,"shares of peloton interactive inc. 
 pton,
 -3.10%
took a hit in afternoon trading thursday, after word got out of a note from chief executive john foley that he ""recently learned"" about a fatal a… [+705 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2021-03-18 05:08:00,,,,,,0.1027,0.058,0.847,0.095,"here are five things you must know for thursday, march 18:
1. -- nasdaq futures tumble as treasury yields climb
stock futures traded mostly lower thursday and nasdaq futures slumped as treasury yie… [+5925 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-03-17 23:20:26,,,,,,-0.4215,0.078,0.922,0.0,the federal reserve triggered an afternoon rally in the stock market wednesday after officials looked past inflation fears and kept rates unchanged. cnbc's jim cramer said it was exactly the right ca… [+2014 chars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-03-17 08:00:00,,,,,,-0.2732,0.054,0.946,0.0,"here's what jim cramer had to say about some of the stocks that callers offered up during the ""mad money lightning round"" tuesday evening:
mp materials mp: ""this stock has had a big move up, but i s… [+1752 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-03-17 05:03:00,,,,,,0.0516,0.031,0.932,0.037,"here are five things you must know for wednesday, march 17:
1. -- stock futures fall as wall street awaits the fed
stock futures fell modestly as investors awaited the federal reserve's assessment … [+5469 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-03-17 00:10:40,,,,,,-0.872,0.248,0.752,0.0,"a year ago tuesday the s&amp;p 500 suffered its worst single-day decline in more than three decades in the midst of a severe weeks-long decline triggered by the global coronavirus pandemic.
stocks h… [+1238 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-03-16 22:54:09,,,,,,0.6908,0.0,0.84,0.16,"high-end retail stocks have made strong gains in recent months, and recent trading activity could be signaling more upside on the horizon, cnbc's jim cramer said tuesday.
""the non-essential high-end… [+2570 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-03-16 14:50:24,,,,,,0.7717,0.0,0.831,0.169,"cnbc's jim cramer said tuesday he believes it's a favorable environment for investors to put money to work in the u.s. stock market.
positive economic signs are abound, cramer said on ""squawk on the… [+2245 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-03-16 09:58:00,,,,,,0.8225,0.071,0.689,0.24,"the nasdaq is rising tuesday as optimism about a recovery in the u.s. is increasing as vaccine distribution reports have been positive.
in the last episode of mad money, jim cramer celebrated 16 yea… [+2060 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-03-16 05:15:00,,,,,,0.7096,0.0,0.852,0.148,"here are five things you must know for tuesday, march 16:
1. -- stock futures are mixed after s&amp;p 500's fifth day of gains
stock futures traded mixed tuesday after optimism over a u.s. recovery… [+5279 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-03-15 23:30:00,,,,,,0.0,0.0,1.0,0.0,"with millions of americans set to receive another round of stimulus checks from the federal government, cnbc's jim cramer on monday advised investors on how to put that money to use in the stock mark… [+1983 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-03-15 08:55:00,,,,,,0.6908,0.0,0.827,0.173,"stock futures rose monday and treasury yields came off one-year highs following the passage of the $1.9 trillion relief package for the u.s. economy.
here are some of the top movers during premarket… [+1772 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-03-15 08:30:00,,,,,,0.7096,0.0,0.883,0.117,"stocks were rising this past week as the dow and s&amp;p 500 closed friday at record highs but some stocks in the past week didn't end the week positive.
jim cramer penned a letter sunday evening to… [+3678 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-03-15 08:00:00,,,,,,0.0,0.0,1.0,0.0,"the cannabis sector was roaring higher this past week as several cannabis stocks surged as the dow and s&amp;p 500 close friday are record highs.
jim cramer penned a letter sunday evening to his cri… [+4716 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-03-15 05:13:00,,,,,,0.6249,0.0,0.87,0.13,"here are five things you must know for monday, march 15:
1. -- stock futures rise as confidence grows in economy's recovery 
stock futures rose monday and treasury yields came off one-year highs fo… [+5316 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-03-11 05:07:00,,,,,,0.3182,0.072,0.797,0.131,"here are five things you must know for thursday, march 11:
1. -- stock futures rise as inflation worries ease
stock futures rose thursday as a weaker-than-expected report on u.s. inflation calmed w… [+5918 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-03-10 14:29:33,,,,,,0.0,0.0,1.0,0.0,"stocks are moving higher wednesday following tuesday's tech-lead rally on wall street and a soft february u.s. inflation reading.
a softer-than-expected reading for core february inflation has bond … [+1640 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-03-09 16:44:00,,,,,,0.0,0.0,1.0,0.0,the tech-heavy nasdaq was rising tuesday and semiconductor stocks continued to march higher as the dow jones is up over 200 points and the s&amp;p 500 was up over 70 points. the nasdaq bounced back f… [+3173 chars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-03-08 16:06:17,,,,,,-0.1027,0.063,0.886,0.051,"stocks were up monday and tech stocks turned higher, shrugging off a rise in treasury bond yields.
equities had been lower in premarket trading prior to a report from cnbc that appaloosa management’… [+2544 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-03-08 11:08:00,,,,,,0.0,0.0,1.0,0.0,"general electric (ge) has been hot of late, to say the least... in a volatile environment at that. bear in mind that ge is in the news this morning, and that the firm's investor day is this wednesday… [+5572 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-03-08 05:10:00,,,,,,0.0,0.0,1.0,0.0,"here are five things you must know for monday, march 8:
1. -- nasdaq futures fall sharply, oil prices steady
stock futures fell monday with nasdaq futures sinking sharply as investors continue to q… [+5076 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
